"","year","month","neighbourhood","num_reviews","date"
"1","2015","01","Bijlmer-Centrum",1,2015-01-01
"2","2015","01","Bijlmer-Oost",3,2015-01-01
"3","2015","01","Bos en Lommer",42,2015-01-01
"4","2015","01","Buitenveldert - Zuidas",10,2015-01-01
"5","2015","01","Centrum-Oost",185,2015-01-01
"6","2015","01","Centrum-West",211,2015-01-01
"7","2015","01","De Aker - Nieuw Sloten",5,2015-01-01
"8","2015","01","De Baarsjes - Oud-West",204,2015-01-01
"9","2015","01","De Pijp - Rivierenbuurt",146,2015-01-01
"10","2015","01","Gaasperdam - Driemond",1,2015-01-01
"11","2015","01","Geuzenveld - Slotermeer",2,2015-01-01
"12","2015","01","IJburg - Zeeburgereiland",22,2015-01-01
"13","2015","01","Noord-Oost",9,2015-01-01
"14","2015","01","Noord-West",18,2015-01-01
"15","2015","01","Oostelijk Havengebied - Indische Buurt",63,2015-01-01
"16","2015","01","Osdorp",5,2015-01-01
"17","2015","01","Oud-Noord",37,2015-01-01
"18","2015","01","Oud-Oost",44,2015-01-01
"19","2015","01","Slotervaart",34,2015-01-01
"20","2015","01","Watergraafsmeer",20,2015-01-01
"21","2015","01","Westerpark",99,2015-01-01
"22","2015","01","Zuid",87,2015-01-01
"23","2015","02","Bijlmer-Oost",3,2015-02-01
"24","2015","02","Bos en Lommer",38,2015-02-01
"25","2015","02","Buitenveldert - Zuidas",6,2015-02-01
"26","2015","02","Centrum-Oost",202,2015-02-01
"27","2015","02","Centrum-West",249,2015-02-01
"28","2015","02","De Aker - Nieuw Sloten",4,2015-02-01
"29","2015","02","De Baarsjes - Oud-West",189,2015-02-01
"30","2015","02","De Pijp - Rivierenbuurt",123,2015-02-01
"31","2015","02","Geuzenveld - Slotermeer",2,2015-02-01
"32","2015","02","IJburg - Zeeburgereiland",16,2015-02-01
"33","2015","02","Noord-Oost",9,2015-02-01
"34","2015","02","Noord-West",15,2015-02-01
"35","2015","02","Oostelijk Havengebied - Indische Buurt",50,2015-02-01
"36","2015","02","Osdorp",6,2015-02-01
"37","2015","02","Oud-Noord",29,2015-02-01
"38","2015","02","Oud-Oost",36,2015-02-01
"39","2015","02","Slotervaart",23,2015-02-01
"40","2015","02","Watergraafsmeer",23,2015-02-01
"41","2015","02","Westerpark",108,2015-02-01
"42","2015","02","Zuid",68,2015-02-01
"43","2015","03","Bijlmer-Oost",3,2015-03-01
"44","2015","03","Bos en Lommer",67,2015-03-01
"45","2015","03","Buitenveldert - Zuidas",9,2015-03-01
"46","2015","03","Centrum-Oost",225,2015-03-01
"47","2015","03","Centrum-West",304,2015-03-01
"48","2015","03","De Aker - Nieuw Sloten",12,2015-03-01
"49","2015","03","De Baarsjes - Oud-West",246,2015-03-01
"50","2015","03","De Pijp - Rivierenbuurt",194,2015-03-01
"51","2015","03","Gaasperdam - Driemond",1,2015-03-01
"52","2015","03","Geuzenveld - Slotermeer",2,2015-03-01
"53","2015","03","IJburg - Zeeburgereiland",22,2015-03-01
"54","2015","03","Noord-Oost",13,2015-03-01
"55","2015","03","Noord-West",15,2015-03-01
"56","2015","03","Oostelijk Havengebied - Indische Buurt",75,2015-03-01
"57","2015","03","Osdorp",8,2015-03-01
"58","2015","03","Oud-Noord",43,2015-03-01
"59","2015","03","Oud-Oost",57,2015-03-01
"60","2015","03","Slotervaart",41,2015-03-01
"61","2015","03","Watergraafsmeer",29,2015-03-01
"62","2015","03","Westerpark",158,2015-03-01
"63","2015","03","Zuid",93,2015-03-01
"64","2015","04","Bijlmer-Centrum",3,2015-04-01
"65","2015","04","Bijlmer-Oost",7,2015-04-01
"66","2015","04","Bos en Lommer",136,2015-04-01
"67","2015","04","Buitenveldert - Zuidas",18,2015-04-01
"68","2015","04","Centrum-Oost",399,2015-04-01
"69","2015","04","Centrum-West",473,2015-04-01
"70","2015","04","De Aker - Nieuw Sloten",23,2015-04-01
"71","2015","04","De Baarsjes - Oud-West",478,2015-04-01
"72","2015","04","De Pijp - Rivierenbuurt",367,2015-04-01
"73","2015","04","Gaasperdam - Driemond",19,2015-04-01
"74","2015","04","Geuzenveld - Slotermeer",10,2015-04-01
"75","2015","04","IJburg - Zeeburgereiland",34,2015-04-01
"76","2015","04","Noord-Oost",40,2015-04-01
"77","2015","04","Noord-West",53,2015-04-01
"78","2015","04","Oostelijk Havengebied - Indische Buurt",115,2015-04-01
"79","2015","04","Osdorp",19,2015-04-01
"80","2015","04","Oud-Noord",100,2015-04-01
